SalesReceiptID,EmployeeID,CustomerID,Date,Subtotal,TaxAmount
1,2,8,2015-01-03,349.75,21.86
2,3,11,2015-01-09,814.97,50.94
3,1,17,2015-01-12,454.93,28.43
4,4,1,2015-01-12,771.87,48.24
5,2,17,2015-01-13,1008.99,63.06
6,1,18,2015-01-13,2673,167.06
7,4,18,2015-02-04,130,8.13
8,2,4,2015-02-06,139.99,8.75
9,2,12,2015-02-07,6689.93,418.12
10,2,18,2015-02-11,4636.5,289.78
11,3,17,2015-02-17,619.65,38.73
12,1,5,2015-03-02,359.97,22.50
13,2,15,2015-03-04,1799.7,112.48
14,4,13,2015-03-09,74.97,4.69
15,3,10,2015-03-23,719.94,45.00
16,3,3,2015-03-23,349.75,21.86
17,1,8,2015-04-02,298,18.63
18,1,13,2015-04-06,869.91,54.37
19,4,10,2015-04-09,2159.96,135.00
20,1,10,2015-04-17,795,49.69
21,2,4,2015-04-17,2842.98,177.69
22,2,10,2015-04-18,449.95,28.12
23,1,18,2015-04-23,587.98,36.75
24,4,3,2015-05-13,779.5,48.72
25,3,1,2015-05-16,1279.65,79.98
26,1,11,2015-05-20,329.97,20.62
27,2,12,2015-05-26,2599.95,162.50
28,4,15,2015-05-28,195,12.19
29,1,1,2015-06-06,649.7,40.61
30,2,11,2015-07-01,596,37.25
31,4,7,2015-07-02,584.96,36.56
32,1,2,2015-07-06,859.99,53.75
33,1,17,2015-07-13,539.94,33.75
34,3,18,2015-07-13,479.96,30.00
35,1,16,2015-07-28,1043,65.19
36,3,7,2015-07-28,390,24.38
37,3,2,2015-08-10,269.97,16.87
38,1,1,2015-08-14,2598,162.38
39,4,7,2015-09-11,1995,124.69
40,2,9,2015-09-11,2478,154.88
41,4,5,2015-09-16,90,5.63
42,1,2,2015-09-19,745,46.56
43,2,10,2015-10-03,1119.83,69.99
44,2,11,2015-10-19,2278.9,142.43
45,2,12,2015-11-04,1204.98,75.31
46,3,6,2015-12-01,419.96,26.25
47,1,4,2015-12-04,2319.66,144.98
48,3,8,2015-12-09,1043,65.19
49,1,2,2015-12-12,359.97,22.50
50,1,5,2015-12-14,1192,74.50
51,4,2,2016-01-12,1049.63,65.60
52,3,19,2016-01-20,0,0.00
53,2,11,2016-01-21,99.96,6.25
54,3,11,2016-01-30,419.7,26.23
55,1,11,2016-02-04,2699.97,168.75
56,4,15,2016-02-16,1559.97,97.50
57,2,16,2016-02-18,179.98,11.25
58,1,2,2016-02-26,1274.7,79.67
59,1,12,2016-03-08,2579.97,161.25
60,1,20,2016-03-09,1902.95,118.93
61,4,7,2016-03-09,1349.87,84.37
62,1,10,2016-03-18,1972.92,123.31
63,3,14,2016-03-26,224.94,14.06
64,3,5,2016-03-31,2699.94,168.75
65,1,2,2016-04-06,539.94,33.75
66,3,15,2016-04-08,3689.89,230.62
67,3,18,2016-05-02,69.95,4.37
68,4,10,2016-05-13,399,24.94
69,2,14,2016-05-17,15,0.94
70,2,18,2016-05-26,954,59.63
71,2,5,2016-06-13,199.96,12.50
72,2,15,2016-06-22,279.8,17.49
73,3,2,2016-07-13,359.97,22.50
74,1,14,2016-07-15,195,12.19
75,4,11,2016-07-23,1799.98,112.50
76,2,2,2016-07-27,99.96,6.25
77,4,3,2016-07-27,105,6.56
78,4,2,2016-07-30,599.95,37.50
79,2,15,2016-08-01,319.8,19.99
80,1,10,2016-08-04,359.97,22.50
81,3,1,2016-08-09,449.95,28.12
82,1,8,2016-08-13,1499.75,93.73
83,1,13,2016-09-03,239.85,14.99
84,3,10,2016-09-08,390,24.38
85,3,14,2016-09-16,2599.95,162.50
86,1,8,2016-09-20,269.97,16.87
87,4,4,2016-09-24,449.95,28.12
88,4,15,2016-09-24,359.96,22.50
89,1,6,2016-09-29,489.65,30.60
90,4,17,2016-10-01,999.74,62.48
91,2,20,2016-10-11,1169.89,73.12
92,3,2,2016-10-17,599.95,37.50
93,4,13,2016-10-19,409.95,25.62
94,1,8,2016-11-08,408,25.50
95,2,18,2016-12-09,979.93,61.25
96,4,4,2016-12-23,60,3.75
97,2,3,2017-01-02,260,16.25
98,3,3,2017-01-04,559.96,35.00
99,3,3,2017-02-02,3764.88,235.31
100,4,20,2017-02-16,239.98,15.00
101,2,20,2017-03-04,499.93,31.25
102,3,7,2017-03-18,359.97,22.50
103,1,14,2017-03-24,489.65,30.60
104,2,12,2017-03-30,1199.8,74.99
105,4,6,2017-04-01,1379,86.19
106,2,13,2017-04-17,114.98,7.19
107,4,11,2017-04-18,1197,74.81
108,1,19,2017-04-19,5609.89,350.62
109,2,20,2017-05-06,1351.91,84.49
110,4,3,2017-05-13,539.94,33.75
111,2,18,2017-05-18,1844.95,115.31
112,4,8,2017-05-20,3712.98,232.06
113,1,20,2017-05-29,4409.57,275.60
114,2,14,2017-06-02,449.99,28.12
115,4,14,2017-06-05,1948.5,121.78
116,1,9,2017-06-23,3657.94,228.62
117,3,5,2017-06-24,2013.7,125.86
118,2,16,2017-07-20,2128.92,133.06
119,1,19,2017-07-22,4569.92,285.62
120,4,3,2017-07-27,999.83,62.49
121,1,5,2017-09-05,2572.43,160.78
122,4,13,2017-09-28,1579.8,98.74
123,4,6,2017-10-02,599.95,37.50
124,2,16,2017-10-03,3179.9,198.74
125,3,7,2017-10-12,260,16.25
126,4,8,2017-10-16,839.93,52.50
127,1,14,2017-10-25,837.94,52.37
128,3,7,2017-11-02,99.96,6.25
129,1,3,2017-11-07,159.9,9.99
130,3,7,2017-11-09,629.93,39.37
131,4,5,2017-11-17,745,46.56
132,1,14,2017-11-23,839.93,52.50
133,4,3,2017-11-25,74.97,4.69
134,2,3,2017-12-04,629.93,39.37
135,1,12,2017-12-07,959.92,60.00
136,3,2,2017-12-09,4456.65,278.54
137,3,15,2017-12-14,239.98,15.00
138,3,2,2017-12-21,359.97,22.50
139,1,12,2017-12-22,340,21.25
140,1,10,2017-12-30,599.95,37.50
141,2,10,2017-12-30,264.9,16.56
142,4,5,2018-01-16,899.99,56.25
143,2,15,2018-01-22,449.95,28.12
144,1,19,2018-01-24,359.97,22.50
145,3,8,2018-02-16,6899.88,431.24
146,3,7,2018-02-20,139.9,8.74
147,2,8,2018-02-21,298,18.63
148,3,19,2018-02-23,24.99,1.56
149,3,10,2018-02-24,179.98,11.25
150,2,4,2018-03-14,629.93,39.37
